County	AMERICANINDIANANDNATIVEALASKAN	15-19YEARSOLD	COLLEGEDEGREE(PERCENT)	POPULATIONTOTAL	OTHERRACE	HISPANICORLATINOPOPULATION	HIGHSCHOOLGRADUATEONLY(PERCENT)	MEDIANHOUSEHOLDINCOME	PERSONSINPOVERTY	20-34YEARSOLD	ASIANANDPACIFICISLANDERPOPULATION	TOTALEMPLOYMENT	INCIVILIANLABORFORCE	35-59YEARSOLD	FEMALEPOPULATION	TOTALUNEMPLOYMENT	BLACKORAFRICANAMERICANPOPULATION	60-74YEARSOLD	75YEARSPLUS	WHITEPOPULATION	
GREENE	83.2394	-37.1998	8.5970	-3314.1443	761.8758	185.0940	-5.2987	33848.7787	-36349.5982	-2031.1553	23.9740	930.8380	1230.8603	-548.8472	-1515.3316	381.7631	-503.8277	1647.8191	-454.5671	-3174.0395	25.620543659999996
GREENE	-36.9903	136.6889	5.8245	-3770.9378	757.2261	97.3888	-45.4675	28146.1439	-36068.2950	-2168.4072	-0.9989	-40.9215	492.7886	-1872.8160	-1122.6187	522.9875	-1900.9287	1964.8133	-593.3439	-3152.5391	18.798878789999996
GREENE	-224.0214	300.2658	2.4227	-4235.0863	752.1557	-11.7596	-117.1724	21363.7087	-35787.7692	-2308.5562	-29.9352	-1074.5179	-279.8595	-3324.9283	-735.9183	645.8493	-4416.0462	2261.3751	-738.9105	-3130.9472	19.86393682
GREENE	-513.8594	453.3818	-1.7332	-4704.4641	746.6518	-147.0106	-244.7187	13332.4527	-35509.3623	-2450.9841	-63.3149	-2168.7738	-1084.9123	-4910.2946	-356.9787	752.1869	-8927.8930	2537.4460	-890.8842	-3109.3673	10.55255983
FRANKLIN	1344.6871	2229.4989	15.3691	44785.2333	6110.7391	11874.6440	31.9052	51026.2557	-117111.3830	-1273.4729	2260.5082	11460.3691	14674.8514	19775.3474	22118.3736	3536.8514	6446.6093	9981.2294	6072.9919	35690.7783	3.048337630000006
FRANKLIN	1269.3183	2359.0007	13.3125	41600.7789	5925.0687	11537.8174	24.9638	47040.2000	-120126.3728	112.7986	2134.6993	7443.8785	10615.5382	17058.2858	20538.2305	3507.8284	6173.4636	9797.9392	5146.0262	32892.3714	18.017851840000006
FRANKLIN	1156.0795	2487.3410	10.6552	38313.5924	5648.5500	11079.7541	13.2937	42449.0103	-123236.1234	1436.5639	1980.5714	3131.8517	6268.7525	14120.9250	18908.6423	3478.3798	5870.7276	9611.5303	4090.1925	30010.5681	14.604142710000005
FRANKLIN	986.6991	2613.8297	7.2384	34938.6727	5238.5706	10459.7358	-6.2443	37187.8216	-126426.2957	2693.5495	1792.6842	-1472.9612	1638.7981	10962.1474	17237.1359	3448.6620	5536.9427	9422.9806	2893.7511	27058.9184	3.8960714600000017
FRANKLIN	734.8143	2737.9015	2.8687	31490.4752	4634.2315	9625.1511	-38.7546	31189.7060	-129683.1110	3881.5593	1564.8506	-6366.1341	-3268.4271	7582.1107	15530.9405	3418.8167	5170.7725	9233.1830	1544.8758	24050.3677	-0.026425449999990747
FRANKLIN	356.5785	2860.7754	-2.7739	27933.4499	3734.6951	8490.8358	-93.3830	24285.4308	-133040.0097	5015.2029	1285.9062	-11615.8589	-8519.6754	3930.4409	13772.5488	3388.5545	4765.1999	9040.2879	9.4690	20954.2606	5.808260790000006
FRANKLIN	-209.1795	2981.8767	-10.0293	24281.4895	2401.0009	6955.4663	-184.8416	16373.6046	-136483.7217	6091.6580	945.8633	-17222.0392	-14113.0130	3.5101	11968.9258	3358.0157	4318.0315	8845.1774	-1730.4114	17783.1132	2.789657079999998
TIOGA	244.7938	-437.6037	11.4530	1296.1333	113.4549	569.7352	32.7101	39413.1432	-37901.6704	-1952.0808	285.9447	1533.6984	1827.3813	2599.5908	520.4385	444.6360	440.3025	2520.7935	1015.8699	941.9074	8.291950889999995
